mpu_address,yaw,pitch,roll,x_accel,y_accel,z_accel
104,75.77,5.06,88.71,0.04,0.91,0.26
104,71.81,6.12,87.98,0.05,0.89,0.29
104,74.69,359.46,90.15,0.02,0.94,0.28
105,82.46,357.53,90.33,0.01,1.04,0.16
104,71.29,1.1,89.63,0.03,0.91,0.31
104,71.72,1.55,89.49,0.03,0.91,0.31
105,84.53,44.66,84.59,0.13,1.08,0.12
104,73.58,2.63,89.23,0.02,0.95,0.3
105,87.04,78.97,75.14,0.27,1.05,0.08
104,73.8,357.79,90.64,0.0,0.94,0.3
105,86.83,82.27,67.81,0.43,1.03,0.06
104,73.64,358.29,90.5,0.01,0.89,0.27
105,82.57,72.4,67.64,0.39,0.91,0.14
104,73.3,358.49,90.45,0.01,0.96,0.29
105,79.09,67.95,64.56,0.47,0.97,0.19
105,78.51,72.7,56.89,0.6,0.91,0.22
105,50.23,54.66,40.43,0.57,0.46,0.41
105,351.26,75.43,357.71,0.71,0.01,0.17
105,58.21,65.62,36.17,0.65,0.55,0.41
104,74.65,2.85,89.22,0.03,0.91,0.27
105,64.64,62.6,47.57,0.63,0.68,0.33
104,72.63,3.84,88.8,0.05,0.94,0.32
105,61.68,57.26,50.03,0.51,0.51,0.39
104,71.91,3.98,88.7,0.04,0.89,0.29
105,67.93,48.84,65.12,0.38,0.81,0.35
104,74.55,7.51,87.91,0.05,0.91,0.28
105,75.61,50.62,72.64,0.36,1.16,0.3
104,71.21,8.49,87.09,0.07,0.91,0.32
105,77.18,37.88,79.96,0.15,1.02,0.25
104,73.87,8.71,87.46,0.06,1.0,0.29
105,79.51,19.39,86.27,0.07,0.91,0.19
104,74.79,4.49,88.78,0.04,1.03,0.29
105,80.01,14.86,87.32,0.08,1.09,0.19
104,77.5,358.84,90.26,0.01,0.85,0.21
105,79.94,35.34,82.83,0.15,1.07,0.19
104,78.8,9.96,88.01,0.03,0.87,0.17
105,82.64,19.71,87.35,0.07,0.92,0.15
104,77.06,17.95,85.74,0.08,0.93,0.21
105,84.38,5.64,89.44,0.03,0.92,0.12
104,77.53,20.5,85.27,0.1,0.85,0.2
105,89.74,339.72,90.1,0.02,0.96,0.03
104,81.89,38.29,83.58,0.13,0.92,0.17
104,77.88,33.19,82.0,0.14,0.89,0.2
104,92.34,124.14,86.55,0.08,0.91,0.05
104,85.19,14.72,88.73,0.04,0.99,0.09
105,86.43,10.8,89.32,0.03,0.93,0.08
104,85.87,7.75,89.44,0.0,0.95,0.1
105,87.72,48.33,87.44,0.07,1.02,0.05
104,82.89,13.44,88.29,0.05,0.95,0.15
105,87.84,45.0,87.84,0.04,1.09,0.08
104,82.3,23.53,86.63,0.05,0.97,0.15
105,88.96,72.95,86.6,0.09,1.04,0.04
104,84.58,20.73,87.94,0.05,0.95,0.13
105,88.75,82.18,80.96,0.19,1.09,0.04
104,84.97,21.58,88.0,0.05,1.02,0.11
105,88.96,86.03,75.32,0.31,1.15,0.05
104,86.15,348.79,90.76,0.01,0.94,0.09
105,89.72,89.33,67.18,0.44,1.05,0.01
105,79.58,79.75,44.52,0.64,0.6,0.16
105,58.14,73.66,25.26,0.62,0.3,0.18
105,17.87,77.61,4.05,0.83,0.07,0.2
105,62.33,78.96,20.41,0.68,0.12,0.12
104,80.17,357.4,90.45,0.01,0.93,0.17
105,57.25,53.33,49.18,0.57,0.67,0.41
105,72.95,70.13,49.67,0.57,0.57,0.2
105,89.68,89.07,70.77,0.45,1.19,0.01
105,88.43,84.26,74.76,0.33,1.22,0.03
105,87.05,69.17,82.3,0.14,1.14,0.06
104,77.44,2.27,89.5,0.03,0.98,0.23
104,77.07,0.77,89.82,0.02,1.0,0.25
105,84.07,20.51,87.78,0.06,1.04,0.12
105,84.95,23.09,87.84,0.06,0.97,0.09
104,82.44,353.34,90.89,0.01,0.91,0.14
104,80.7,359.77,90.04,0.02,0.95,0.17
104,84.97,348.06,91.07,0.0,1.02,0.12
105,78.04,13.62,87.06,0.09,0.94,0.19
105,83.17,52.36,81.17,0.16,0.97,0.15
105,80.93,42.4,81.71,0.17,1.0,0.18
105,78.02,46.14,77.55,0.25,1.07,0.26
105,80.05,57.49,74.6,0.31,1.08,0.2
105,80.29,62.56,71.76,0.36,1.0,0.2
105,74.86,61.06,63.94,0.6,1.15,0.24
105,59.25,55.33,49.3,0.6,0.73,0.37
105,51.78,74.52,19.38,0.5,0.17,0.18
105,14.44,74.18,4.18,0.59,0.05,0.19
105,59.07,66.01,36.6,0.69,0.44,0.27
105,69.35,65.91,49.87,0.55,0.67,0.26
105,83.77,81.36,54.29,0.66,0.91,0.11
105,85.23,81.44,61.01,0.51,0.88,0.06
104,72.08,2.13,89.31,0.03,0.94,0.32
105,85.16,75.49,71.89,0.31,0.86,0.05
104,68.71,14.4,84.29,0.11,0.87,0.34
104,73.22,21.08,83.37,0.13,0.88,0.28
104,75.4,11.02,87.1,0.06,0.84,0.24
105,88.3,77.38,82.43,0.16,1.07,0.05
105,87.15,61.96,84.66,0.12,0.95,0.05
105,88.32,61.75,86.88,0.06,0.9,0.05
104,82.41,357.11,90.39,0.02,0.98,0.14
105,88.24,14.32,89.55,0.04,0.93,0.04
104,82.91,5.11,89.36,0.04,0.98,0.15
105,86.48,335.47,91.61,0.01,0.93,0.07
104,81.28,3.3,89.49,0.03,0.92,0.16
